,Title,Published_date,Views,Likes,Favorites,Comments,Month
84,Krishna Katha | Shalyo Badh Parbo | Times of Puraan | Mirchi Bangla Audio Story | Episode 33,2025-08-04,11176,433,0,35,Aug
85,Sunday Suspense | 5 Number Specimen | Saikat Mukhopadhyay | Mirchi Bangla Audio Story,2025-08-03,433189,8062,0,397,Aug
86,Sunday Suspense Classics | Namaskar | Sailajananda Mukhopadhyay | Mirchi Bangla Audio Story,2025-08-02,433967,8276,0,241,Aug
87,Crime Katha | EP 01 | Kabir Road Hatya Rahasya | Mirchi Bangla Originals,2025-08-02,153655,2930,0,234,Aug
88,Kachher Manush | Suchitra Bhattacharya | Golpo Goldmine | Mirchi Bangla Audio Story | Episode 11,2025-08-02,37301,1364,0,81,Aug
89,"Team Crime Katha Live | Ft. Surbek, Soumyaditya, Hindol, Deepak And Arunima | Mirchi Bangla",2025-08-02,4448,87,0,4,Aug
90,Panthar Mangsho | Ullas Mallick | Friday Classics | Mirchi Bangla Audio Story,2025-08-01,210229,4910,0,137,Aug
91,Sei Canvas | Manohar | Ep 5 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-08-01,4756,167,0,7,Aug
92,Haar Heem Horror | Season 4 | Morongondho | EP 36 | Bangla Horror Story | Mirchi Bangla,2025-08-01,13566,551,0,17,Aug
93,"Team Crime Katha Live | Ft. Surbek, Soumyaditya, Hindol, Deepak And Arunima | Mirchi Bangla",2025-08-01,0,0,0,0,Aug
94,"#FridayClassics-e aaj shunun, Ullash Mallick-er lekha Panthar Mangsho thik raat 10tay ! #shorts",2025-08-01,15997,638,0,13,Aug
95,"এবার স্টুডিওতে Mirchi Manali-র মা! কেমন হলো দেখুন ব্যাপারটা !#MirchiOriginals-এ আসছে, Crime Katha!",2025-08-01,20589,639,0,22,Aug
96,Sei Canvas | Swapno | Ep 4 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-07-31,5423,175,0,10,Jul
97,Back to Back Mess Barir Golpo | Bangla Horror Story | Haar Heem Horror | Mirchi Bangla,2025-07-31,70427,1149,0,43,Jul
98,Ashol moner kotha eta e! Honest meetings ft. Abhijit & Arnab #trendingnow #fyp #explorepage,2025-07-31,8733,237,0,4,Jul
99,Kachher Manush | Suchitra Bhattacharya | Golpo Goldmine | Mirchi Bangla Audio Story | Episode 10,2025-07-31,37667,1294,0,80,Jul
100,Sei Canvas | Aghat | Ep 3 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-07-30,5632,196,0,5,Jul
101,নীল চ্যাটার্জী রূপে এই সপ্তাহে সানডে সাসপেন্সে শুনুন দীপ বসুকে !,2025-07-30,17765,581,0,48,Jul
102,Krishna Katha | Braj-e Gelen Balaram | Times of Puraan | Mirchi Bangla Audio Story | Episode 32,2025-07-30,14305,476,0,34,Jul
103,#SundaySuspense-এ Letetia Blacklock-এর চরিত্রে অভিনয় করেছেন বিদীপ্তা চক্রবর্তী ! কেমন লাগল?,2025-07-30,17294,674,0,13,Jul
104,True Crime Stories apnader kemon laagey?Janan comments-ey!,2025-07-29,5969,178,0,7,Jul
105,Sei Canvas | Flashback | Ep 2 | Bengali Psychological Thriller | Mirchi Bangla Originals,2025-07-29,5947,188,0,15,Jul
106,Miss Jane Marple aka Mithu Chakrabarty on Sunday Suspense! Kemon chhilo obhigota? #SundaySuspense,2025-07-29,27645,1597,0,51,Jul
107,Haar Heem Horror | Maha Episode | Season 4 | Prokop | Mirchi Bangla,2025-07-29,249728,3599,0,236,Jul
108,Neel Chatterjee phhirchen ei robibar! Shobai toiri toh? #mirchibangla #gaana,2025-07-29,30795,843,0,21,Jul
